$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,004300364b34500b20393636
$VAR,SESSION_ID,9bab3c02b932c3477e1f0e7b
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,105276.730,-17.028,1.464,40.161,-0.19433,-0.45703,0.77978,18.20
$MAG,105276.749,0.067,0.777,-0.123,15.8
$BARO,105276.753,96246.36,19.01
$BARO,105276.794,96247.68,19.02
$HUM,105276.805,48.4,17.9
$IMU,105276.806,-15.258,3.479,28.259,-0.18359,-0.42822,0.78369,18.24
$BARO,105276.835,96245.37,19.01
$MAG,105276.849,0.079,0.778,-0.114,15.9
$BARO,105276.875,96238.61,19.01
$IMU,105276.881,-10.253,1.159,17.028,-0.30029,-0.46240,0.83105,18.18
$HUM,105276.886,48.5,17.8
$BARO,105276.916,96244.78,19.02
$MAG,105276.949,0.090,0.780,-0.115,15.9
$BARO,105276.957,96242.85,19.02
$IMU,105276.957,-9.948,-12.390,10.437,-0.25048,-0.48828,0.87695,18.20
$HUM,105276.967,48.5,17.9
$BARO,105276.998,96242.07,19.02
$IMU,105277.032,4.943,-17.517,-6.652,-0.17578,-0.50781,0.88671,18.25
$BARO,105277.038,96241.49,19.02
$HUM,105277.048,48.4,17.8
$MAG,105277.049,0.060,0.781,-0.135,15.9
$BARO,105277.079,96251.70,19.03
$IMU,105277.108,44.555,-24.963,-19.592,-0.25390,-0.45556,0.89306,18.20
$BARO,105277.120,96246.29,19.03
$HUM,105277.129,48.4,17.9
$MAG,105277.149,0.028,0.745,-0.199,16.0
$BARO,105277.161,96236.83,19.03
$IMU,105277.183,70.434,-40.100,-14.587,-0.12646,-0.22802,1.00146,18.24
$BARO,105277.201,96250.17,19.03
$HUM,105277.210,48.4,17.8
$BARO,105277.242,96242.44,19.03
$MAG,105277.249,-0.004,0.702,-0.238,15.9
$IMU,105277.259,66.772,-40.527,-10.559,-0.02343,-0.16943,1.01904,18.22
$BARO,105277.283,96246.49,19.03
$HUM,105277.291,48.6,17.9
$BARO,105277.324,96249.97,19.03
$IMU,105277.334,56.457,-25.329,-30.151,0.02783,-0.13330,1.04492,18.23
